A,B,C
SIVAMURUGAN MEDICAL AGENCY S&B - COIMBATORE,F47012,CETAPHIL MOISTURISING LOTION 500ML NEW
RAHUL KG,A07020,EPIDUO GEL FORTE 30GM PUMP
METRO CASH & CARRY INDIA PRIVATE LIMITED (MALAD),J01021,Bi-Luma Advance Night Cream -45gm
PISPL-Siliguri (GIPL Rx-S&B),431,Defective Goods
JIGISHA APPARELS,F47006,CETAPHIL DAM 30GM NEW
DECURE PHARMACY,F49000,CETAPHIL OPTIMAL HYDRATION 48H ACTIVATION SERUM 30ML
MANJUNATH M,F47003,CETAPHIL GENTLE SKIN CLEANSER 500ML NE
SILIGURI RX S&B PISPL(HQ CETAPHIL BERHAMPORE / RX SILIGURI),J01010,Bi-Luma Cream - 15gm
SILIGURI RX S&B PISPL(HQ CETAPHIL / RX  SILIGURI),J01022,Bi-Luma Cream for Sensitive Areas -25gm
GLOWBELL WHOLESALE,440,Import Destination Charges
INDRAVATI KORI,DIST021NA,30029090-GST - 5%
GAURAV MEDICAL AGENCIES,E01010,PERLICE CREAM  - 60gm
AABIR MASOOD,J01010,Bi-Luma Cream - 15gm
H & W LABS PRIVATE LIMITED,470,CSA - TCS Payable Control
ANUBANDH CORPORATION,429,Principal Credit
PRASHANT MEDICAL AGENCIES,430,Damage Return - Damage - IOL - Wrapping/Packing Damage
KRISHNA AGENCIES,432,Freight On Stock Transfer Expenses - Outward
RAJAT CHAWLA,433,Driver Incentives
ARINDAM PHARMA ( DR AMLAN SHOME ),434,Freight On Demo Equipments
PARAG MEDICAL STORES,435,Demo Equipments Expenses
RAJAGOPAL RAJENDRA,436,Courier Charges Stock Transfer - 194C
COSMET HEALTH CARE,437,Courier Expense Cargo Outward 
GAURANG PANCHAL ,438,Courier Expenses Cargo
ROHINI JAMDAR,439,Terminal Charges
DHRUVI HEALTHCARE PRIVATE LIMITED (AHMEDABAD),441,Demo Freight Expenses 
V R ENTERPRISE E-COM,442,Demo Conveyance Expenses 
KANCHAN KUMARI,443,Demo Loading & Unloading Expenses
UNITY AGENCY,444,Disposable Charges - 194C
RAJPAL GIRASE,445,Air freight - 194C
ZUBER AHMED,446,Drinking Water Charges - 194C
REVITALIS LABS LLP,447,Freight Expenses - Stock Transfer 
SKIN KARE ASSOCIATES,A06010,Epiduo Gel Pump - 30gm
UNIMED DISTRIBUTTORS,E02010,PERMITE CREAM - 30gm
VISA MEDICALS,E02010,PERMITE CREAM - 30gm
JEEVA M,E02010,PERMITE CREAM - 30gm
VRIDAAN MEDICALS,E02010,PERMITE CREAM - 30gm
RAJPUTANA AGENCIES PRIVATE LIMITED(First cry),DIST006,GIPL-33049910-GST - 18%
VISHAL MEDICAL,DIST005,GIPL-30049099-GST - 12%
ARJUNDEV OP,DIST004,GIPL-30049029-GST - 12%
MEDIKING,DIST012,GIPL-30045090-GST -18%
DR LAKSHMIKANTH E - CHENNARAYAPATTANA,RXNDIST012,GIPL-30045090-GST - 18%
SHUBHAM JAIN,DIST003,GIPL-30045090-GST - 12%
ASHISH TIWARI,DIST002,GIPL-30043200-GST - 12%
AZURE MEDICARE LLP (DR. ALISHA NAHA),DIST001,GIPL-30039090-GST - 12%
PRAFULLA KHUSPURE,DIST021,GIPL-30029090-GST - 5%
MORYA MEDICAL AND GENERAL STORES,E02010,PERMITE CREAM - 30gm
KRISHNA KRUPA MEDICAL & GENERAL STORES - S&B,E01010,PERLICE CREAM  - 60gm
DR M SAI SUNIL KISHORE,E01010,PERLICE CREAM  - 60gm
AELAKANTI PRATAP KUMAR,E01010,PERLICE CREAM  - 60gm
AFZAL SHEIKH,E01010,PERLICE CREAM  - 60gm
ANAND MK,DIST011,GIPL-34013090-GST -18%
GOLDI & VIPUL MEDICARE PRIVATE LIMITED,RXNDIST011,GIPL-34013090-GST - 18%
ANAND TIWARI,DIST010,GIPL-34013019-GST - 18%
ANKIT KUMAR PANDEY,DIST009,GIPL-34011190-GST - 18%
ATHARV MEDICAL,RXNDIST014,GIPL-33079090-GST - 18%
MISRA PHARMACEUTICAL AGENCY,RXNDIST013,GIPL-33051090-GST - 18%
UNI PHARMA,DIST008,GIPL-33049990-GST - 18%
VIJAY ENTERPRISES,DIST007,GIPL-33049930-GST - 18%
AJIT MEDICALS,B02010,EFFICORT CREAM - 10gm
ANNASAHEB BARDE PATIL,Do not use B01010,DESOWEN CREAM - 10gm
VINAYAK ENTERPRISES,Do not useF44005,Cetaphil Pro Oil Control Purifying Clay Mask - 85 gm
ANANTHA LAKSHMI MEDICALS,Do not useF44004,Cetaphil Pro Oil Control Moisturising Lotion -  120 ml
ARAMA RAMASUBRAMANIAN,Do not useF44003,Cetaphil Pro Oil Control Foam Wash - 236 ml
DESAI PHARMA,Do not useF44001,Cetaphil Pro Dryness Control Night Repair Hand Cream - 50 ml
DR LAKSHMI ANAND - CHENNAI,Do not useF44002,Cetaphil Pro Dryness Control Face Moisturising Cream- 50 ml
CHANDRA REKHA MEDICAL STORES-Galderma RX S&B,Do not useF44000,Cetaphil Pro Dryness Control Day Protect Hand Cream - 50 ml
NEHA MEDICAL AGENCIES,Do not use F39001,CETAPHIL BABY WASH & SHAMPOO WITH ORGANIC CALENDULA-400ML
RAM PHARMA,Do not useF40001,CETAPHIL BABY DAILY LOTION WITH ORGANIC CALENDULA-400 ML
MAHAVIR MARKETING-BANGALORE (HQ-SELF-MEDICATION),Do not useF39002,Cetaphil Baby Advanced Protection Cream - 85 Gm
AMARJIT TALUKDAR,DNT use F44004,"Cetaphil Pro Oil Control Moisturising Lotion -  120 ml|1,250.00"
SEVAM PHARMA LLP,F20000,Cetaphil Rest Moist Ltn - 100ml
ARORA MEDIWORLD,F20000,Cetaphil Rest Moist Ltn - 100ml
AGGARWAL MEDICAL STORE,F03040,CETAPHIL OS - 60ML
SHRIKANT DISTRIBUTORS,F03030|425.30,CETAPHIL OS - 125ml
BOMMERA RAMESH,F03030|392.00,CETAPHIL OS - 125ml
DR G HIMABINDU,F03030|387.00,CETAPHIL OS - 125ml
VIJAYA MEDICAL AGENCIES,F03030|351.85,CETAPHIL OS - 125ml
M/S KANTI DISTRIBUTORS (INDIA),F03030,CETAPHIL OS - 125ml
KUMAR MEDICINE COMPANY (RX-ND),F10300,Cetaphil Daylong SPF 50+ Gel - 50ml
K.S. AGENCIES,F10300,Cetaphil Daylong SPF 50+ Gel - 50ml
METRO CASH & CARRY INDIA PVT. LTD-DC 16-HY-3(SHAMSHABAD),F10300,Cetaphil Daylong SPF 50+ Gel - 50ml
